Word,Top_10_Similar_Words,Similarity_Scores
人工智能,"['人工智能', '机器学习', '深度学习', '自动驾驶', '机器人', '智能化', '人体工学', '智能客服', '智能', '物联网']","[0.9833369255065918, 0.8565149307250977, 0.8012831211090088, 0.7758122682571411, 0.7537652254104614, 0.7531495094299316, 0.7261449098587036, 0.7147793769836426, 0.7092532515525818, 0.7062797546386719]"
AI产品,"['类产品', '产品', '件产品', '视频产品', '用户', '产品组', '智能', '技术', '制品', '产品线']","[0.8625302314758301, 0.8545787334442139, 0.8537777066230774, 0.8175899386405945, 0.8150573372840881, 0.8129073977470398, 0.8110230565071106, 0.807081937789917, 0.8038970828056335, 0.8022244572639465]"
AI芯片,"['芯片', '半导体', '器件', '核心', '集成式', '主机厂', '晶硅', '感器', '导体', '非核心']","[0.9223306775093079, 0.8230854868888855, 0.8152457475662231, 0.8132494688034058, 0.811259388923645, 0.8075861930847168, 0.8016613125801086, 0.8000925183296204, 0.7995054721832275, 0.7973238229751587]"
机器翻译,"['机器人', '计算机', '机械', '机器', '机电', '算机', '中文', '语音', '电机', '语言']","[0.7599499225616455, 0.7504400014877319, 0.7470168471336365, 0.7443076372146606, 0.7429888248443604, 0.7407159209251404, 0.7403068542480469, 0.7304199934005737, 0.7299651503562927, 0.7297694683074951]"
机器学习,"['机器学习', '深度学习', '人工智能', '自动驾驶', '机器人', '人体工学', '数据挖掘', '大数据分析', '物联网', '智能化']","[0.9999998807907104, 0.8845168352127075, 0.8507500886917114, 0.7459712028503418, 0.7448527812957764, 0.7138760685920715, 0.704646110534668, 0.690447986125946, 0.6864561438560486, 0.6819221377372742]"
计算机视觉,"['计算机', '视觉', '系统工程', '人工智能', '微电脑', '模具设计', '电脑科技', '多媒体', '机器学习', '机器人']","[0.8263023495674133, 0.7693139910697937, 0.7329938411712646, 0.7329936623573303, 0.7318520545959473, 0.7303164005279541, 0.7268664836883545, 0.7236136198043823, 0.7229539752006531, 0.7226940393447876]"
人机交互,"['人工智能', '机器学习', '机器人', '交互', '自动驾驶', '无人机', '多媒体', '深度学习', '智能化', '物联网']","[0.8344907164573669, 0.7932767868041992, 0.7850193977355957, 0.7742612957954407, 0.7554205656051636, 0.7460707426071167, 0.7460119724273682, 0.7398360967636108, 0.7355962991714478, 0.7272835969924927]"
深度学习,"['深度学习', '机器学习', '人工智能', '自动驾驶', '学习型', '数据挖掘', '物联网', '机器人', '技术革新', '大数据分析']","[1.000000238418579, 0.8845169544219971, 0.8004273176193237, 0.7283898591995239, 0.6860183477401733, 0.6847197413444519, 0.676782488822937, 0.6673234701156616, 0.661018967628479, 0.66064453125]"
神经网络,"['神经', '机器学习', '深度学习', '人工智能', '网络体系', '无线网络', '网络通信', '物联网', '服务网络', '网络']","[0.7966581583023071, 0.7514474391937256, 0.7329256534576416, 0.7040076851844788, 0.6970584392547607, 0.6676815152168274, 0.6554381251335144, 0.6480184197425842, 0.6406657099723816, 0.6403936147689819]"
生物识别,"['生物制品', '生物', '生物科技', '生物医药', '微生物', '人工智能', '识别', '物联网', '诊断系统', '机器学习']","[0.7674428224563599, 0.7599304914474487, 0.7577264904975891, 0.739916205406189, 0.7375994920730591, 0.7364125847816467, 0.7315542101860046, 0.7219457626342773, 0.7182067632675171, 0.7172890901565552]"
图像识别,"['识别', '图像', '传感器', '人工智能', '自动驾驶', '数据处理', '诊断系统', '深度学习', '像素', '多媒体']","[0.762759268283844, 0.7398805618286133, 0.6961754560470581, 0.687288761138916, 0.6821438670158386, 0.6624013185501099, 0.6592751741409302, 0.6585261821746826, 0.6579161286354065, 0.6520630717277527]"
数据挖掘,"['数据挖掘', '大数据分析', '数据管理', '数据处理', '数据分析', '数据库', '数据中心', '数据', '统计数据', '监测技术']","[1.0, 0.8890670537948608, 0.8489077091217041, 0.841722846031189, 0.8293285369873047, 0.7871150970458984, 0.769503116607666, 0.7598919868469238, 0.7126601934432983, 0.7074452638626099]"
特征识别,"['特征', '特质', '识别', '第二类', '第三类', '区别', '特殊人群', '区域性', '特性', '第一类']","[0.8121035099029541, 0.7400482892990112, 0.7222620248794556, 0.7191234827041626, 0.7171856164932251, 0.7148281335830688, 0.7141129970550537, 0.7138993740081787, 0.7134588956832886, 0.7118757963180542]"
语音合成,"['语音', '简易', '多媒体', '合成', '模块化', '集成式', '无人化', '输入量', '录入', '系统化']","[0.7927155494689941, 0.7298984527587891, 0.728472888469696, 0.7279261946678162, 0.7207385897636414, 0.7097529172897339, 0.7091844081878662, 0.7090281248092651, 0.7061407566070557, 0.7058847546577454]"
语音识别,"['识别', '自动驾驶', '人工智能', '深度学习', '机器学习', '语音', '诊断系统', '无人机', '监测技术', '电动汽车']","[0.7338631749153137, 0.724953830242157, 0.704092264175415, 0.6876248121261597, 0.6665334701538086, 0.6611257791519165, 0.6596443057060242, 0.652583122253418, 0.6419969797134399, 0.6419768333435059]"
知识图谱,"['知识图谱', '知识', '专业知识', '科普', '识图', '教学', '图谱', '手册', '基础性', '方法论']","[1.0000001192092896, 0.8642367124557495, 0.8072916865348816, 0.8060812950134277, 0.7578777074813843, 0.751842737197876, 0.7456949949264526, 0.7330572605133057, 0.7328132390975952, 0.7322703003883362]"
智慧银行,"['银行', '商业银行', '上海银行', '支行', '中国银行', '商行', '招商银行', '智慧', '分行', '商银']","[0.8453071117401123, 0.7931805849075317, 0.7888681888580322, 0.784609854221344, 0.7787410020828247, 0.7769601345062256, 0.7726708054542542, 0.7692469954490662, 0.7647465467453003, 0.7572581768035889]"
智能保险,"['智能', '智能化', '人寿保险', '商业保险', '保险代理', '财产保险', '保险', '保险业', '保险经纪', '智能客服']","[0.8135610818862915, 0.8011533617973328, 0.7987207174301147, 0.791022539138794, 0.7897768020629883, 0.7891429662704468, 0.7799859046936035, 0.7763040661811829, 0.7756359577178955, 0.7716584801673889]"
人机协同,"['人工智能', '机器人', '智能化', '无人机', '无人化', '一体化', '协同', '智能', '自动驾驶', '人机']","[0.8203847408294678, 0.7995220422744751, 0.7743263244628906, 0.7726254463195801, 0.7620291709899902, 0.761400580406189, 0.7548225522041321, 0.7532258033752441, 0.7523541450500488, 0.7512540817260742]"
智能监管,"['监管', '智能化', '智能', '管控', '市场监管', '智能客服', '监督管理', '监管部门', '分级管理', '监测技术']","[0.8207164406776428, 0.7918901443481445, 0.7813423871994019, 0.7799021005630493, 0.7540104389190674, 0.7537983059883118, 0.7505165338516235, 0.7498202919960022, 0.7433658838272095, 0.7411209344863892]"
智能教育,"['智能化', '智能', '远程教育', '人工智能', '智能客服', '智能家居', '教育', '智能网', '数字家庭', '多媒体']","[0.8142120242118835, 0.8065649271011353, 0.7959468364715576, 0.7716277837753296, 0.7632184028625488, 0.7600502967834473, 0.7566863298416138, 0.748227596282959, 0.7467010021209717, 0.7292493581771851]"
智能客服,"['智能客服', '客服', '智能化', '智能', '客户服务', '服务中心', '用户服务', '服务部', '服务平台', '人工智能']","[1.0, 0.7957203984260559, 0.7866204977035522, 0.7671677470207214, 0.7617440819740295, 0.7585263252258301, 0.7518146634101868, 0.7479724884033203, 0.7402961254119873, 0.735736608505249]"
智能零售,"['智能化', '智能客服', '智能', '电子商务', '零售商', '智能家居', '物联网', '零售', '人工智能', '智能网']","[0.8057031035423279, 0.7732342481613159, 0.7701616287231445, 0.7596569061279297, 0.7579187154769897, 0.7566075325012207, 0.7532778978347778, 0.7484737038612366, 0.7394721508026123, 0.7244645357131958]"
智能农业,"['智能化', '农业装备', '智能', '人工智能', '物联网', '智能家居', '农业', '智能客服', '智能网', '机器人']","[0.812931478023529, 0.7818077206611633, 0.7764942049980164, 0.7669335603713989, 0.7605119943618774, 0.759062647819519, 0.7569777965545654, 0.7425237894058228, 0.7402069568634033, 0.7212517261505127]"
智能投顾,"['智能', '智能客服', '智能化', '智能网', '智能家居', '人工智能', '投资人', '创投', '机器人', '威联智创']","[0.7976233959197998, 0.7922543287277222, 0.7791696190834045, 0.7684187889099121, 0.7472128868103027, 0.7445034384727478, 0.7264298796653748, 0.7232376933097839, 0.7209962606430054, 0.7204883694648743]"
增强现实,"['人工智能', '深度学习', '机器学习', '多媒体', '广泛应用', '智能化', '数字家庭', '技术革新', '自动驾驶', '数字化']","[0.7530341148376465, 0.7265840768814087, 0.7229787111282349, 0.7055914998054504, 0.6672644019126892, 0.6597559452056885, 0.6596448421478271, 0.6591488122940063, 0.6569801568984985, 0.6546084880828857]"
虚拟现实,"['人工智能', '机器学习', '深度学习', '自动驾驶', '广泛应用', '多媒体', '数字电视', '数字家庭', '临床实践', '数字化']","[0.7418563961982727, 0.7167072296142578, 0.7003277540206909, 0.6756423115730286, 0.6533278226852417, 0.6524935960769653, 0.6507924795150757, 0.6487085819244385, 0.6486581563949585, 0.6395545601844788]"
智能医疗,"['智能化', '智能', '人工智能', '智能家居', '智能客服', '物联网', '医疗器械', '数字化', '数字家庭', '智能网']","[0.8550146818161011, 0.8265170454978943, 0.8185116052627563, 0.7763898372650146, 0.7705840468406677, 0.750666618347168, 0.745583176612854, 0.7382869124412537, 0.7376927733421326, 0.7344192862510681]"
智能音箱,"['多媒体', '智能', '智能化', '智能家居', '智能手机', '多功能', '家庭影院', '数字电视', '电视机', '冰箱']","[0.7867951393127441, 0.78451007604599, 0.7761194109916687, 0.7690849304199219, 0.7653613090515137, 0.7586323022842407, 0.756819486618042, 0.7547617554664612, 0.7490840554237366, 0.7464211583137512]"
智能语音,"['智能化', '智能', '人工智能', '智能客服', '自动驾驶', '多媒体', '多功能', '智能手机', '功能定位', '智能家居']","[0.8106092810630798, 0.8078057765960693, 0.7860924005508423, 0.7813974022865295, 0.7501428127288818, 0.7493915557861328, 0.7460334300994873, 0.7443513870239258, 0.7366595268249512, 0.7325639724731445]"
智能政务,"['智能客服', '智能化', '智能', '智能网', '服务平台', '智能家居', '服务网络', '人工智能', '物联网', '数字化']","[0.8146528005599976, 0.8027207851409912, 0.7891002893447876, 0.7515667080879211, 0.7420215606689453, 0.7346863746643066, 0.7309130430221558, 0.7299676537513733, 0.7209533452987671, 0.7198734283447266]"
自动驾驶,"['自动驾驶', '电动汽车', '人工智能', '全自动', '电动车', '机器学习', '自动化', '深度学习', '动力系统', '自动']","[1.0, 0.7876490950584412, 0.7781506776809692, 0.7608059644699097, 0.7516427040100098, 0.745971143245697, 0.731833815574646, 0.7283896803855896, 0.7207793593406677, 0.7079312205314636]"
智能运输,"['智能化', '智能', '运输', '运输机', '智能客服', '物联网', '节能', '数字化', '智能家居', '人工智能']","[0.8068267107009888, 0.7787496447563171, 0.7696132063865662, 0.7616474032402039, 0.7607852220535278, 0.7426692247390747, 0.7424693703651428, 0.7392637729644775, 0.7378115653991699, 0.7319885492324829]"
卷积神经网络,"['神经', '深度学习', '分布式', '机器学习', '脊髓', '算法', '细胞', '网络体系', '通讯器', '无线网络']","[0.8413020968437195, 0.7010172009468079, 0.7003864049911499, 0.6980519890785217, 0.6930172443389893, 0.6829936504364014, 0.6818137764930725, 0.6794735193252563, 0.6743645668029785, 0.673715353012085]"
声纹识别,"['识别', '人工智能', '传感器', '分辨', '自动驾驶', '智能化', '多媒体', '诊断系统', '监测技术', '智能']","[0.83751380443573, 0.6489794254302979, 0.6467427611351013, 0.6414533853530884, 0.6407167911529541, 0.6365300416946411, 0.6350082755088806, 0.6336158514022827, 0.6332599520683289, 0.6314000487327576]"
特征提取,"['特征', '特质', '提取', '采集', '变应性', '特性', '特定', '筛选', '定性', '相关性']","[0.8055006265640259, 0.7807443141937256, 0.775378942489624, 0.764707624912262, 0.7624309062957764, 0.7619843482971191, 0.7574352622032166, 0.7561075687408447, 0.754436194896698, 0.7517667412757874]"
无人驾驶,"['自动驾驶', '人工智能', '无人机', '电动汽车', '机器学习', '机器人', '深度学习', '电动车', '无人化', '物联网']","[0.9173782467842102, 0.8044239282608032, 0.7785492539405823, 0.7624585628509521, 0.755400538444519, 0.7418315410614014, 0.7349495887756348, 0.728453516960144, 0.7007609009742737, 0.6935575008392334]"
智能家居,"['智能家居', '智能化', '智能', '智能手机', '数字家庭', '家用电器', '人工智能', '智能客服', '数字电视', '电动汽车']","[0.8526094555854797, 0.8306276798248291, 0.7906206250190735, 0.7872155904769897, 0.7838045358657837, 0.7715623378753662, 0.7706935405731201, 0.752094030380249, 0.7481797933578491, 0.7414223551750183]"
问答系统,"['控系统', '管理系统', '系统化', '系统对', '系统性', '系统', '建立', '互动', '问询', '信息系统']","[0.7290623784065247, 0.7240742444992065, 0.7217711210250854, 0.7191222906112671, 0.7169173359870911, 0.7164512276649475, 0.7146716117858887, 0.7126939296722412, 0.7109342813491821, 0.7106409072875977]"
人脸识别,"['识别', '人工智能', '自动驾驶', '机器学习', '深度学习', '无人机', '特殊人群', '机器人', '监测技术', '人体工学']","[0.7663954496383667, 0.7468566298484802, 0.7145557403564453, 0.6955398321151733, 0.6901570558547974, 0.6647464632987976, 0.646166205406189, 0.643155574798584, 0.6356123685836792, 0.6342283487319946]"
商业智能,"['智能化', '智能', '人工智能', '智能家居', '物联网', '智能网', '智能客服', '多媒体', '一体化', '智能手机']","[0.868552565574646, 0.8513196706771851, 0.7969025373458862, 0.7788964509963989, 0.7787112593650818, 0.7660394310951233, 0.761766791343689, 0.7600310444831848, 0.7512596249580383, 0.7463193535804749]"
智慧金融,"['金融服务', '金融业', '金融业务', '智能化', '金融', '金融工具', '畅联智融', '智慧', '智能', '金融中心']","[0.8122826814651489, 0.7536300420761108, 0.7533508539199829, 0.7496709823608398, 0.7496531009674072, 0.746216356754303, 0.7459962368011475, 0.7389674782752991, 0.7374075055122375, 0.7347968220710754]"
循环神经网络,"['神经', '网络体系', '机器学习', '深度学习', '人工智能', '无线网络', '紊乱', '良性循环', '生态系统', '服务网络']","[0.8292620182037354, 0.6985098123550415, 0.697081446647644, 0.6938150525093079, 0.6642525792121887, 0.6640486121177673, 0.6631326079368591, 0.6614164113998413, 0.6611377000808716, 0.6595403552055359]"
强化学习,"['学习', '学习型', '不断加强', '逐步提高', '加大力度', '提高效率', '继续加强', '深度学习', '提高效益', '紧紧抓住']","[0.8030723333358765, 0.7781738042831421, 0.7113885879516602, 0.7036933898925781, 0.7019757628440857, 0.6999616622924805, 0.6986503601074219, 0.6960693001747131, 0.6942229270935059, 0.6911402344703674]"
智能体,"['智能', '智能网', '智能化', '智能家居', '一体化', '一体', '立体化', '多媒体', '智慧', '数控']","[0.9320616722106934, 0.8868604898452759, 0.8731159567832947, 0.8325608968734741, 0.8250770568847656, 0.822569727897644, 0.8167338967323303, 0.8116273880004883, 0.8059900403022766, 0.7965614199638367]"
智能养老,"['智能化', '养老', '养老保险', '智能', '人工智能', '养老金', '智能客服', '老年人', '智能家居', '人口老龄化']","[0.7737122178077698, 0.7724894285202026, 0.7489151954650879, 0.7429617047309875, 0.7336385846138, 0.7271066904067993, 0.721133291721344, 0.710693895816803, 0.7093329429626465, 0.7012275457382202]"
大数据营销,"['大数据分析', '数据挖掘', '数据管理', '数据分析', '数据处理', '营销', '数据中心', '数据库', '市场推广', '数字化']","[0.8724350333213806, 0.8490815162658691, 0.8275922536849976, 0.7775288820266724, 0.7769607901573181, 0.7745989561080933, 0.7535189986228943, 0.747107982635498, 0.7440763711929321, 0.7224618792533875]"
大数据风控,"['大数据分析', '数据管理', '数据挖掘', '数据分析', '数据处理', '风控', '数据中心', '数据库', '风险管理', '信息管理']","[0.8549145460128784, 0.8211630582809448, 0.804428219795227, 0.7692822813987732, 0.7585911154747009, 0.7562450170516968, 0.7416621446609497, 0.7256523370742798, 0.7160396575927734, 0.7080544233322144]"
大数据分析,"['大数据分析', '数据分析', '数据挖掘', '数据管理', '数据处理', '数据库', '数据中心', '数据', '统计数据', '历史数据']","[1.0, 0.9281404614448547, 0.8890671133995056, 0.8392821550369263, 0.8265350461006165, 0.8105409741401672, 0.8045008182525635, 0.8019104599952698, 0.76670241355896, 0.7254942655563354]"
大数据处理,"['数据处理', '数据管理', '大数据分析', '数据挖掘', '数据中心', '数据分析', '数据库', '数据', '信息管理', '数字化']","[0.9382301568984985, 0.9007096290588379, 0.891584575176239, 0.8771746754646301, 0.8066917657852173, 0.7980086207389832, 0.7965349555015564, 0.7487837672233582, 0.7415307760238647, 0.73857581615448]"
支持向量机,"['支持', '集成式', '线性', '控制器', '双向', '分布式', '定向', '采用', '可变', '脉冲']","[0.7920392155647278, 0.7884712219238281, 0.7763727903366089, 0.7751156091690063, 0.7710605263710022, 0.771051287651062, 0.769221305847168, 0.7675321102142334, 0.763469398021698, 0.7624508738517761]"
SVM,"['BIPV', 'MES', 'SDN', 'CSP', 'RVO', 'nfo', 'PCA', 'EHS', 'LTPS', 'CODcr']","[0.8470309972763062, 0.8360821604728699, 0.821863055229187, 0.821525514125824, 0.8187246918678284, 0.8177870512008667, 0.8169357776641846, 0.8163034915924072, 0.8161218166351318, 0.8144118785858154]"
长短期记忆,"['记忆', '周期性', '暂时性', '重复性', '长期', '生命周期', '短期', '长时间', '分阶段', '持续性']","[0.812613844871521, 0.7698685526847839, 0.7672485113143921, 0.7632485628128052, 0.7516837120056152, 0.747673749923706, 0.7449175119400024, 0.7441176176071167, 0.7438385486602783, 0.7414329051971436]"
LSTM,"['AJE', 'Bremse', 'PtyLtd', 'Nidec', 'irm', 'UOIN', 'CODcr', 'AKiPower', 'AKiChaser', 'Canalys']","[0.8816022276878357, 0.8737624883651733, 0.865951657295227, 0.8646037578582764, 0.863867461681366, 0.8593451976776123, 0.8576467037200928, 0.8557396531105042, 0.8542737364768982, 0.850554883480072]"
机器人流程自动化,"['机器人', '自动化', '智能化', '人工智能', '精细化', '数控机床', '流水线', '一体化', '数字化', '模块化']","[0.824714183807373, 0.8109846115112305, 0.7892998456954956, 0.7749122381210327, 0.7668465375900269, 0.7407314777374268, 0.7406946420669556, 0.7361046075820923, 0.7356621623039246, 0.7354651689529419]"
RPA,"['PCA', 'AJE', 'MDT', 'nAMD', 'BIPV', 'CODcr', 'cni', 'Nadcap', 'OSA', 'irm']","[0.8979719877243042, 0.8433877229690552, 0.8374909162521362, 0.8373756408691406, 0.8369020223617554, 0.8368908762931824, 0.8331121802330017, 0.8327174186706543, 0.8290826082229614, 0.8275905251502991]"
自然语言处理,"['数据处理', '深度学习', '机器学习', '人工智能', '语言', '人体工学', '工程学', '系统工程', '数据管理', '表处理']","[0.7412760257720947, 0.7126604914665222, 0.7113596200942993, 0.6983039379119873, 0.6830792427062988, 0.6793347597122192, 0.6761887073516846, 0.6749343276023865, 0.6726415753364563, 0.66953444480896]"
NLP,"['Nadcap', 'PCA', 'ICL', 'nAMD', 'CODcr', 'BIPV', 'UOIN', 'MES', 'nfo', 'WMS']","[0.8145565986633301, 0.8106411695480347, 0.797412633895874, 0.7965584397315979, 0.7903181314468384, 0.7895134687423706, 0.7871196866035461, 0.7867677211761475, 0.7849500775337219, 0.781760573387146]"
分布式计算,"['分布式', '计算方法', '集成式', '计算', '深度学习', '数据管理', '算法', '大数据分析', '数据处理', '模块化']","[0.8615747094154358, 0.7980808615684509, 0.7358818054199219, 0.7314552664756775, 0.7291887998580933, 0.7244457602500916, 0.724295973777771, 0.7232353091239929, 0.7231413722038269, 0.7213732600212097]"
