词语,频次
公司,18591
有限,7770
有限公司,6433
管理,4102
产品,4036
发展,3680
医疗,3187
服务,2993
企业,2987
技术,2906
业务,2870
市场,2685
投资,2658
行业,2424
经营,2358
设立,2276
眼科,2256
生产,2208
汽车,2030
项目,1924
爱尔,1877
医院,1796
客户,1793
能源,1763
科技,1743
提升,1729
控制,1728
能力,1623
报告,1565
销售,1515
持续,1512
上海,1496
光伏,1494
相关,1480
爱康,1445
中国,1440
资产,1402
集团,1374
产业,1360
国家,1326
研发,1322
资金,1311
质量,1298
深圳,1273
制造,1262
提供,1244
建设,1243
品牌,1193
创新,1183
开发,1182
收入,1176
增长,1161
系统,1161
全球,1121
智能,1106
股份,1080
情况,1080
供应,1059
新能源,1043
竞争,1041
食品,1040
战略,1039
风险,1006
发电,1000
期内,998
影响,995
眼科医院,950
信息,944
提高,943
合并,928
领域,916
金融,908
电力,908
优势,907
计划,887
收益,866
国内,859
平台,858
子公司,845
消费,841
需求,839
董事,836
体系,836
股权,826
政策,817
经济,801
TCL,791
工作,785
推进,775
合伙,773
健康,770
证券,767
一步,763
进一步,753
机构,751
运营,749
国际,737
规模,725
补助,724
核心,722
股票,714
模式,708
江苏,707
北京,703
资源,700
香精,692
成本,687
合作,661
信托,661
工业,646
数据,633
设备,629
我国,625
社会,624
结构,619
供应商,619
水平,617
香料,615
日否,614
交易,611
商业,611
爱建,610
建立,606
深圳市,603
人才,597
责任,593
部件,588
租赁,579
环境,573
完善,572
研究,565
患者,564
基础,562
基金,562
未来,559
中心,554
苏州,553
设计,548
稳定,545
标准,543
人民,537
联网,536
材料,534
金额,530
年度,525
互联,521
加工,519
升级,518
价值,517
投入,516
电站,516
优化,514
网络,508
期权,506
方式,504
长期,501
专业,500
会议,499
实施,498
融资,498
发生,498
渠道,497
效率,489
综合,489
地区,488
零部件,487
确认,483
布局,480
实业,477
万元,474
快速,474
目标,469
包括,467
工程,465
组织,464
资本,463
员工,461
器械,460
发行,456
控股,454
电池,454
采购,453
工艺,450
推动,449
董事会,445
制度,441
调整,440
医疗器械,440
激励,435
互联网,434
航空,432
费用,431
第三,428
单位,428
太阳,426
增加,422
人员,417
活动,417
太阳能,412
机制,408
零售,406
高效,406
鼻腔,406
数字,406
承诺,402
压铸,400
领先,399
营业,398
电子,395
上市,392
临床,390
劳务,388
重点,385
手术,384
趋势,373
规范,372
亿元,372
成立,371
品质,370
显示,370
州市,370
配料,369
门诊,369
消费者,367
竞争力,366
同比,365
注册,365
商品,364
用户,363
转型,363
香港,363
镇痛,362
团队,362
光电,362
终端,362
注销,362
人民币,362
购买,360
扶持,359
价格,357
数码,355
合金,355
方案,355
降低,353
宁波,353
支持,353
麻醉,352
培训,351
募集,349
打造,349
疼痛,347
规划,345
银行,342
投资者,342
营销,340
地方,338
文化,337
分析,337
全国,336
披露,335
智慧,334
通讯,331
拥有,331
比例,331
股东,328
精密,322
关系,322
符合,322
供应链,321
政府,317
数量,316
累计,316
有限责任,315
组件,313
铝合金,310
巧克力,309
构建,308
拓展,308
整体,306
收购,302
资讯,300
产能,299
保障,298
深度,296
惠州,296
保证,296
科学,294
履行,292
治疗,292
部门,292
预计,291
专利,291
监测,290
护理,288
优质,287
近视,286
理念,286
合同,284
邹承慧,284
强化,282
地位,282
加快,282
信息化,281
专项,279
财富,278
量化,275
过程,274
武汉,273
流程,273
减少,272
变化,272
节能,271
新疆,271
超过,270
第一,270
资讯网,270
加大,269
区域,269
数字化,269
覆盖,267
权益,266
支架,265
借款,263
售电,263
科研,263
新型,263
用于,262
轻量,261
鼓励,261
教育,261
轻量化,261
议案,260
照明,257
自有,257
增强,257
份额,256
赣州,256
媒体,255
内部,255
诊疗,254
解决,254
公开,254
条件,254
转让,248
公告,245
门诊部,244
一体,242
第四,241
关联,241
发布,240
自动,240
委员,239
系列,238
巨潮,237
措施,236
学术,236
带来,233
名称,233
围绕,232
cninfo,230
长沙,229
协同,229
联合,229
提出,229
先进,228
全资,228
阶段,227
制品,227
咨询,226
参与,225
---,225
专家,225
保护,224
制定,224
财务,224
利用,223
时间,223
协议,222
销量,221
江西,221
采用,220
整合,220
执行,220
知名,220
经验,219
城市,217
期末,217
产业链,217
订单,217
日日,216
持有,215
审议,215
下游,214
关键,212
浙江,212
委员会,212
监管,212
聚焦,212
影响力,210
管控,210
内容,209
成都,209
补贴,208
改革,208
负债,207
世界,205
环节,204
创造,204
爱朋,204
大学,203
依法,202
湖南,202
生态,202
功能,201
协会,200
发挥,200
机遇,200
张家,199
一体化,199
总额,199
智能化,198
空间,198
自主,198
奖励,197
效益,197
实业集团,197
资本化,197
天津,197
下降,195
深化,195
美国,195
通信,195
行权,195
海外,195
驱动,194
可靠,193
推广,193
调研,192
环保,191
评估,191
盈利,191
培养,189
疫情,189
具备,187
管理体系,187
诊所,186
利润,186
创业,186
制造业,185
业绩,185
广州,185
张家港,184
作用,184
铸件,183
山东,182
内外,182
经销,182
上市公司,182
私募,181
特定,181
进度,181
卫生,180
原材,179
因素,179
程度,179
统计,178
产品质量,178
连带,178
广东,178
工厂,178
年来,178
酷动,177
实力,177
原材料,177
扶贫,176
动力,176
近年,176
薪酬,176
现有,176
运行,175
医疗机构,174
市场份额,173
独立,173
面临,173
支付,173
主体,171
较大,170
招商,170
儿童,170
商务,170
期间,169
美容,169
电视,169
爱施德,169
爱普,169
改造,168
精准,167
体验,167
格局,166
手机,166
确保,166
保险,165
重庆,165
生活,165
检测,165
多媒体,164
装配,164
细分,164
占有,164
高端,164
共享,164
沙市,163
基地,162
突破,161
特种,161
零件,161
现金,161
压铸件,160
大型,159
事业,159
方向,159
持股,159
债券,158
新能,158
成长,157
否否,157
注药泵,157
边框,157
导致,157
国家级,156
配置,156
长沙市,156
一方,155
万份,155
认证,155
爱慕,155
金融服务,155
汽车产业,154
配件,154
海市,153
优友,153
西安,153
积累,153
解决方案,152
生产线,152
多个,152
河北,152
授予,152
差异,152
高质,152
授权,152
高质量,151
本期,151
装修,151
多年,151
工程技术,151
特种工艺,150
中康,149
视光,149
融合,148
稳步,148
线下,148
利息,148
意见,147
货币,147
接待,146
防控,146
生物,146
场景,145
占有率,145
考核,145
挑战,145
履约,144
落实,144
优秀,144
新设,144
自动化,144
利益,144
探索,143
对象,143
服务业,143
始终,142
证券报,142
成果,142
模具,142
学习,142
分销,141
指导,141
青少,140
青少年,140
连锁,140
少年,140
选择,139
重视,139
电动,139
沟通,139
面向,139
处于,138
高新,138
人力,138
上线,138
完工,138
各项,138
定位,137
可可,137
睡眠,137
信用,137
视觉,136
线上,136
美元,136
原因,136
计算,136
时代,136
加速,136
形象,135
原则,135
集成,135
贷款,135
内蒙,134
房产,134
详见,134
人群,133
改善,133
排放,132
传统,132
策略,132
集团股份,132
开拓,131
国际化,131
通知,131
各类,131
多种,131
市场占有率,131
主营,130
金融业,130
治理,130
工具,130
省区,130
搭建,129
委托,129
报告期,129
疾病,129
高度,129
方法,129
分布,128
监事,128
联营,128
架构,128
发行股票,128
结算,127
预测,127
产销,127
变更,126
助力,126
贸易,126
支撑,126
申请,126
蒙古,126
外部,126
周期,126
华星,125
更好,125
年产,125
定性,125
主营业务,125
引进,125
印发,125
医学,124
国内外,124
三届,124
电脑,123
利率,123
全球化,123
当期,123
管理系,123
货币资金,122
新增,122
安装,122
人工,122
地方性,122
力度,122
欧洲,121
季度,121
万辆,121
出售,120
本次,120
依托,120
租入,120
合计,120
日期,120
第三届,120
物流,120
知识,119
交付,119
大幅,119
变动,119
内蒙古,119
金属,118
地产,118
分级,118
发展趋势,118
波动,117
青海,117
实地,117
分娩,117
民营,117
努力,117
专项资金,116
间接,116
爱尔眼,116
余额,116
医生,116
计量,116
上海市,116
会计,115
主机,115
九江,115
鼻炎,115
面对,115
培育,114
增速,114
流动,114
销售收入,114
内障,113
资等,113
河南,113
做好,113
软件,113
山西,113
飞机,113
监督,113
审核,112
总体,112
类型,112
日本,112
白内障,112
运维,112
万亿,112
业而,111
板块,111
致力,111
合伙人,111
维护,111
神州,111
队伍,111
预期,110
指标,110
合格,110
装备,110
公益,110
力量,110
进展,110
伙伴,109
